Name,Year,Country,Genre,Rating,Metascore,Runtime,Sound_mix,Color,Budget,Gross,Director,Stars
Can Can,1898,USA, ,5.9,0,0 min,Silent, Black and White,0,0,,Mlle. Fraidora
"Torpedo Boat, 'Dupont'",1898,USA, ,3.7,0,0 min,Silent, Black and White,0,0,,
Bombardment of Matanzas,1898,USA, ,3.8,0,0 min,Silent, Black and White,0,0,Edward Amet ,
Pea-Hulling Machine,1898,USA, ,4.3,0,0 min,Silent, Black and White,0,0,,
Freedom of Cuba,1898,USA, ,4.4,0,0 min,Silent, Black and White,0,0,Edward Amet ,
S.S. 'Coptic',1898,USA, ,3.6,0,0 min,Silent, Black and White,0,0,,
Highland Fling,1898,UK, ,4.2,0,0 min,Silent, Black and White,0,0,,
The Telephone,1898,USA, ,4.2,0,0 min,Silent, Black and White,0,0,,
Highland Cross Sword Dance,1898,UK, ,4.2,0,0 min,Silent, Black and White,0,0,,
Masked Procession,1898,USA, ,3.6,0,0 min,Silent, Black and White,0,0,James H. White ,
The Highland Fling,1898,UK, ,5,0,0 min,Silent, Black and White,0,0,,
The Startled Lover,1898,USA, Romance,4.1,0,0 min,Silent, Black and White,0,0,,
Thrilling War Scene,1898,USA, ,0,0,0 min,Silent, Black and White,0,0,,
Josephina Ruiz,1898,Portugal, ,0,0,0 min,Silent, Black and White,0,0,,
A Very Laughable Mixup,1898,USA, ,4.4,0,0 min,Silent, Black and White,0,0,,
Cake Walk,1898,USA, ,3.9,0,0 min,Silent, Black and White,0,0,,
Tub Race,1898,USA, ,4.7,0,0 min,Silent, Black and White,0,0,,
Firing Broadside at Cabanas,1898,USA, ,5.4,0,0 min,Silent, Black and White,0,0,,
The Wrestlers,1899,India, ,4,0,0 min,Silent, Black and White,0,0,Harishchandra Sakharam Bhatavdekar ,
Lady Contortionist,1899,USA, ,4.3,0,0 min,Silent, Black and White,0,0,,Mlle. De La Roy
Around the Big Curves on the Manhattan Elevated R.R.,1899,USA, ,5.5,0,0 min,Silent, Black and White,0,0,,
Reproduction of the Corbett and Jeffries Fight,1899,USA," News, Sport",4.5,0,0 min,Silent, Black and White,0,0,,
Soldiers of the Cross,1900,Australia," Biography, Drama",6.1,0,0 min,Silent, Black and White,0,0,,"Beatrice Day,Harold Graham,Mr. Graham"
X Rays,1900,France, ,4.1,0,0 min,Silent, Black and White,0,0,,
"Pierrot's Problem, or How to Make a Fat Wife Out of Two Lean Ones",1900,USA," Comedy, Fantasy",3.8,0,0 min,Silent, Black and White,0,0,,
Caught,1900,USA, ,4.8,0,0 min,Silent, Black and White,0,0,,
Boarding School Girls' Pajama Parade,1900,USA, ,4.4,0,0 min,Silent, Black and White,0,0,,
Family Troubles,1900,USA, Comedy,4.9,0,0 min,Silent, Black and White,0,0,,
Phono-CinÌ©ma-ThÌ©Ì¢tre,1900,, ,5.3,0,0 min,,,0,0,,
After Dark in Central Park,1900,USA, ,4,0,0 min,Silent, Black and White,0,0,,
May Day Parade,1900,USA, News,0,0,66 min,Silent, Black and White,0,0,,
Trouble in Hogan's Alley,1900,USA, Comedy,4,0,0 min,Silent, Black and White,0,0,,
The Tribulations of an Amateur Photographer,1900,USA, ,3.8,0,0 min,Silent, Black and White,0,0,,
Buffalo Bill's Wild West Parade,1900,USA, ,4,0,0 min,Silent, Black and White,0,0,,
Forward,1901,USA, ,4.6,0,0 min,Silent, Black and White,0,0,,
Snow White,1902,USA, ,4.8,0,0 min,Silent, Black and White,0,0,,
Sr. Wrangler Mr. R.P. Paranjpe,1902,India, ,4,0,0 min,Silent, Black and White,0,0,Harishchandra Sakharam Bhatavdekar ,R.P. Paranjpye
Who Said Watermelon,1903,USA, ,4.1,0,0 min,Silent, Black and White,0,0,,
The Three Musketeers,1903,France, ,4.2,0,0 min,Silent, Black and White,0,0,,
The Divorce,1903,USA, Drama,3.6,0,0 min,Silent, Black and White,0,0,,
"Pica, pica Compadrito",1903,Argentina, ,3.9,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Alibaba and the Forty Thieves,1903,India, ,4.6,0,0 min,Silent, Black and White,0,0,Hiralal Sen ,
TÌ«kyÌ«za katsudÌ« daishashin,1903,Japan, ,4.1,0,0 min,Silent, Black and White,0,0,,
Reliance: Shamrock III,1903,France, ,4.5,0,0 min,Silent, Black and White,0,0,,
Massacres de MacÌ©donie,1903,France, ,6.5,0,0 min,Silent, Black and White,0,0,Lucien Nonguet ,
Der Specht,1903,Germany, ,4.6,0,0 min,Silent, Black and White,0,0,,
ElÌ_mÌ_Ì_ esplanaadikadulla,1904,Finland, ,4.2,0,0 min,Silent, Black and White,0,0,Frans EngstrÌ_m ,
The Bengali Fisherman,1904,India, ,4.4,0,0 min,Silent, Black and White,0,0,Hiralal Sen ,
Abajo la careta,1904,Argentina, ,5.2,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Los polÌ_ticos,1904,Argentina, ,4.8,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Asahi katsudÌ« daishashin,1904,Japan, ,5.2,0,0 min,Silent, Black and White,0,0,,
Halfaouine,1905,, ,3.5,0,0 min,,,0,0,,
Ensalada criolla,1905,Argentina, ,3.9,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Valsons,1905,France, Music,3.6,0,0 min,Chronophone, Black and White,0,0,Alice Guy ,Armand Dranem
La course aux tonneaux,1905,France, ,4.9,0,0 min,Silent, Black and White,0,0,Ferdinand Zecca ,
ValtiopÌ_ivÌ_kuvia,1905,Finland, ,3,0,0 min,Silent, Black and White,0,0,Frans EngstrÌ_m ,
Eine Fliegenjagd oder Die Rache der Frau Schultze,1905,Germany, ,5.3,0,0 min,Silent, Black and White,0,0,,"Frida Cotrelli,Eugen Skladanowsky"
Bohemios,1905,Spain, ,0,0,100 min,Silent, Black and White,0,0,Ricardo de BaÌ±os ,"Antonio del Pozo,El Mochuelo"
La malia dell'oro,1905,Italy, Fantasy,4.2,0,0 min,Silent, Black and White,0,0,Filoteo Alberini ,
KedÌ©lyes bohÌ©mek,1905,Hungary, ,3,0,0 min,Silent, Black and White,0,0,,
The Story of the Kelly Gang,1906,Australia," Biography, Crime, Drama, History, Western",6.4,0,70 min,Silent, Black and White,"$2,250 ",0,Charles Tait ,"Elizabeth Tait,John Tait,Norman Campbell"
The Joe Gans-Battling Nelson Fight,1906,USA," News, Sport",3.3,0,0 min,Silent, Black and White,0,0,,"Joe Gans,Battling Nelson"
Holger Drachmann,1906,Denmark, ,3.3,0,0 min,Silent, Black and White,0,0,,"Holger Drachmann,Sophie Drachmann,Jacob Hegel"
Highlights from The Mikado,1906,UK, Musical,3.1,0,0 min,Chronophone, Black and White,0,0,Arthur Gilbert ,"Albert Gater,Marie Grey,James Rouse"
Krybskytten,1906,Denmark, ,3.1,0,0 min,Silent, Black and White,0,0,,
Cavalleria infernale,1906,Italy, ,3.2,0,0 min,Silent, Black and White,0,0,Arturo Ambrosio ,
Lika mot lika,1906,Sweden, Comedy,3.6,0,0 min,Silent, Black and White,0,0,Knut Lambert ,"Knut Lambert,Helfrid Lambert,Tollie Zellman"
El pechador,1906,Argentina, ,3.8,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Un soulier pour un jambon,1906,France, ,4.6,0,0 min,Silent, Black and White,0,0,Alice Guy ,
Primi calori,1906,Italy, ,0,0,0 min,Silent, Black and White,0,0,Arturo Ambrosio ,
RÌ©actions de Suzanne,1906,Belgium, ,3.2,0,0 min,Silent, Black and White,0,0,Ovide Decroly ,
Impersonation of Nelson-McGovern Fight,1906,USA," Drama, Sport",3.4,0,0 min,Silent, Black and White,0,0,,
En jernbaneulykke,1906,Denmark, ,0,0,0 min,Silent, Black and White,0,0,,
El soldado de la Independencia,1906,Argentina, ,3.6,0,0 min,Silent, Black and White,0,0,Eugene Py ,
SÌünnens hÌ_vn,1906,Denmark, ,0,0,0 min,Silent, Black and White,0,0,Viggo Larsen ,
Vappu HelsingissÌ_,1906,Finland, ,4,0,0 min,Silent, Black and White,0,0,Oscar LindelÌ_f ,
Life and Passion of Christ,1907,France, Drama,6.1,0,45 min,Silent, Black and White,0,0,Ferdinand Zecca ,
Robbery Under Arms,1907,Australia, Drama,5.1,0,0 min,Silent, Black and White,"AUDåÊ1,000        ",0,Charles MacMahon ,"Jim Gerald,George Merriman,Lance Vane"
Tom Sawyer,1907,USA, ,6.4,0,0 min,Silent, Black and White,0,0,,
"The Lady Athlete; or, Jiu Jitsu Downs the Footpads",1907,UK, Comedy,0,0,57 min,Silent, Black and White,0,0,Alf Collins ,Madame Garrud
Komm du kleines KohlenmÌ_dchen,1907,Germany, ,5,0,0 min,Silent, Black and White,0,0,,"Joseph Giampietro,Fritzi Massary"
Violante,1907,Spain, Drama,0,0,0 min,Silent, Black and White,0,0,,"Enrique JimÌ©nez,Margarita Xirgu"
"DejÌÁ Ì© jugar, chÌ©, chÌ©",1907,Argentina, ,4.4,0,0 min,Silent, Black and White,0,0,Eugene Py ,
El ciego de la aldea,1907,Spain, Drama,4.8,0,75 min,Silent, Black and White,0,0,,
Why Girls Leave Home,1907,USA, ,3.9,0,0 min,Silent, Black and White,0,0,,
El grito de Dolores o La independencia de MÌ©xico,1907,Mexico, Drama,5.3,0,0 min,Silent, Black and White,0,0,Felipe de JesÌ_s Haro ,Felipe de JesÌ_s Haro
Mister Wiskey,1907,Argentina, ,3.5,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Los tocayos,1907,Argentina, ,0,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Faust,1907,UK, Music,4.6,0,0 min,Chronophone, Black and White,0,0,Arthur Gilbert ,
Balett ur op. Mignon/JÌ_ssehÌ_radspolska,1907,Sweden, ,3.2,0,0 min,Silent, Black and White,0,0,,"Robert KÌ_ller,Victoria Strandin,Oscar Tropp"
Belles of Killarney,1907,Ireland, ,0,0,0 min,Silent, Black and White,0,0,Arthur Melbourne Cooper ,Kate O'Connor
The Fairylogue and Radio-Plays,1908,USA," Fantasy, Adventure",6,0,120 min,Silent,Color,0,0,,"L. Frank Baum,Frank Burns,George E. Wilson"
Hamlet,1908,Italy, Drama,3.1,0,0 min,Silent, Black and White,0,0,Mario Caserini ,Fernanda Negri Pouget
Don Quijote,1908,Spain, Drama,4.7,0,0 min,Silent, Black and White,0,0,Narciso CuyÌÊs ,
Gans-Nelson Fight,1908,USA, Sport,4.4,0,0 min,Silent, Black and White,0,0,,"Joe Gans,Battling Nelson"
Resa Stockholm-GÌ_teborg genom GÌ_ta och TrollhÌ_tte kanaler,1908,Sweden, ,5.3,0,0 min,Silent, Black and White,0,0,Charles Magnusson ,
Don ÌÅlvaro o la fuerza del sino,1908,Spain, Drama,4,0,0 min,Silent, Black and White,0,0,Narciso CuyÌÊs ,"Jaime BorrÌÁs,JoaquÌ_n Carrasco"
Taikoki judanme,1908,Japan, ,5.8,0,0 min,Silent, Black and White,0,0,,"Sakiji Ichikawa,Kasen Nakamura,Utae Nakamura"
"Donnerwetter, tadellos",1908,Germany, ,5.3,0,0 min,Silent, Black and White,0,0,,"Henry Bender,Fritzi Massary"
L'uomo dalla testa dura,1908,Italy, ,0,0,0 min,Silent, Black and White,0,0,Edoardo Bencivenga ,Felice Minotti
Hiawatha,1908,USA, ,0,0,0 min,Silent, Black and White,0,0,,
Le devoir,1908,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,Maurice Vinot,RenÌ©e Carl"
Os Guaranis,1908,Brazil, Romance,2.9,0,0 min,Silent, Black and White,0,0,Benjamin Oliveira ,"Inez Grizeta,Benjamin Oliveira"
La glu,1908,Italy, ,4.4,0,0 min,Silent, Black and White,0,0,Giovanni Pastrone ,
Cuisine magnÌ©tique,1908,France, ,5.9,0,0 min,Silent, Black and White,0,0,Segundo de ChomÌ_n (as Chomont)            ,
I promessi sposi,1908,Italy, ,3.5,0,0 min,Silent, Black and White,0,0,Mario Morais ,
The Reg Girl,1908,USA, ,0,0,0 min,Silent, Black and White,0,0,,Florence Lawrence
Los carreros,1908,Argentina, ,4.6,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Poum ÌÊ la chasse,1908,France, ,0,0,0 min,Silent, Black and White,0,0,RenÌ© Le Somptier ,"AndrÌ© Le Somptier,Alice Tissot"
Trallala Lied,1908,Germany, ,5.8,0,0 min,Silent, Black and White,0,0,,Fritzi Massary
Soga kyodai kariba no akebono,1908,Japan, ,0,0,0 min,Silent, Black and White,0,0,Shokichi Umeya ,"Kasen Nakamura,Utae Nakamura"
El pastorcito de Torrente,1908,Spain, Drama,7.2,0,0 min,Silent, Black and White,0,0,Antonio Cuesta ,
The Life of Moses,1909,USA," Biography, Drama, Family",5.5,0,0 min,Silent, Black and White,0,0,J. Stuart Blackton ,"Pat Hartigan,Julia Arthur,William Humphrey"
Andreas Hofer,1909,Germany, Drama,4.8,0,0 min,Silent, Black and White,0,0,Rudolf Biebrach ,Henny Porten
The Scottish Covenanters,1909,Australia, Drama,0,0,55 min,Silent, Black and White,0,0,Joseph Perry ,"Isa Crossley,Beatrice Day"
Toma del Gurugu,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
Locura de amor,1909,Spain, Drama,5.4,0,0 min,Silent, Black and White,0,0,,"JosÌ© ArgelaguÌ©s,JoaquÌ_n Carrasco,JosÌ© Durany"
"Les heures - Ìäpisode 2: Le matin, le jour",1909,France, ,5.2,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,RenÌ©e Carl,Christiane Mandelys"
Le songe d'une nuit d'Ì©tÌ©,1909,France, ,0,0,0 min,Silent, Black and White,0,0,,"George Footit,Stacia Napierkowska"
Salome Mad,1909,UK, Comedy,4.5,0,0 min,Silent, Black and White,0,0,Theo Frenkel (as Theo Bouwmeester)            ,
The Three Musketeers,1909,Italy, ,4,0,0 min,Silent, Black and White,0,0,Mario Caserini ,"Maria Caserini,Fanny Deslisles"
The Snowman,1909,France, ,4.4,0,0 min,Silent, Black and White,0,0,Georges Monca ,"RenÌ©e PrÌ©,RenÌ© Leprince"
Toma caseta Z,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
ProtecciÌ_n de un convoy de vÌ_veres en el puente de camellos,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
"Les heures - Ìäpisode 3: Midi, la vesprÌ©e, le crÌ©puscule",1909,France, ,5.2,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,RenÌ©e Carl,Christiane Mandelys"
Cycle Rider and the Witch,1909,Denmark, ,5.4,0,0 min,Silent, Black and White,0,0,Viggo Larsen ,"Viking Ringheim,Petrine Sonne"
LÌ_gens offer,1909,Denmark, ,0,0,0 min,Silent, Black and White,0,0,,"Viggo Larsen,Petrine Sonne"
Un premier amour,1909,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,Maurice Vinot"
Le voile des nymphes,1909,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,Maurice Vinot"
"Les heures - Ìäpisode 4: Le soir, la nuit",1909,France, ,5.5,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,RenÌ©e Carl,Christiane Mandelys"
Two of the Boys,1909,UK, ,0,0,0 min,Silent, Black and White,0,0,Theo Frenkel ,
Eine Silhouette-KomÌ_die,1909,Germany, ,0,0,0 min,,,0,0,,
Resurrection,1909,Russia, ,0,0,0 min,Silent, Black and White,0,0,,
Um Cavalheiro Deveras Obsequioso,1909,Brazil, Comedy,5.3,0,0 min,Silent, Black and White,0,0,AntÌ«nio Serra ,"JoÌ£o Barbosa,Adelaide Coutinho,AurÌ©lia Delorme"
Fiesta de toros,1909,Mexico, ,0,0,0 min,Silent, Black and White,0,0,Hermanos Alva ,
De Garraf a Barcelona,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,FructuÌ_s Gelabert ,
Melilla y el Gurugu,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
GÌüngehÌüvdingen,1909,Denmark," Drama, War",4,0,0 min,Silent, Black and White,0,0,Carl Alstrup ,"Aage Brandt,N. Eiberg,Solborg FjeldsÌüe Rasmussen"
The Wayward Daughter,1909,USA, ,0,0,0 min,Silent, Black and White,0,0,,"Gene Gauntier,George Melford"
Le miroir hypnotique,1909,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"RenÌ©e Carl,Maurice Vinot"
Matelot,1909,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"RenÌ©e Carl,Maurice Vinot"
A ViÌ_va Alegre,1909,Brazil, Romance,5.5,0,0 min,Silent, Black and White,0,0,,"Cremilda de Oliveira,Ismenia Mateos,AntÌ«nio Cataldi"
Le fou,1909,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,Maurice Vinot"
Yamato zakura,1909,Japan," Drama, War",0,0,0 min,Silent, Black and White,0,0,,
Raffaello Sanzio e la fornarina,1909,Italy, ,5.8,0,0 min,Silent, Black and White,0,0,Edoardo Bencivenga ,
Uma Licao de Maxixe,1909,Brazil, Comedy,0,0,0 min,Silent, Black and White,0,0,AntÌ«nio Serra ,"Albertina Ramirez,AsdrÌ_bal Miranda,Elvira Benevente"
Smith's Knockabout Theatre,1909,UK, ,0,0,0 min,Silent, Black and White,0,0,Theo Frenkel ,
O Nono Mandamento,1909,Brazil, Drama,3.7,0,0 min,Silent, Black and White,0,0,AntÌ«nio Serra ,Francisco Marzullo
Yuzu no tsuyu,1909,Japan, ,0,0,0 min,, Black and White,0,0,,
Mar y cielo,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Narciso CuyÌÊs ,"JoaquÌ_n Carrasco,Francisco Tressols"
Fiestas en La Garriga,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,FructuÌ_s Gelabert ,
Viernes de dolores,1909,Mexico, ,0,0,0 min,Silent, Black and White,0,0,Hermanos Alva ,
Suzuki mondÌ«,1909,Japan, ,0,0,90 min,Silent, Black and White,0,0,,
Die ErschieÌÙung des spanischen Rebellen Francisco Ferer Guardia,1909,Germany, ,0,0,0 min,Silent, Black and White,0,0,Carl Buderus ,Karl Hasselmann
Los dos hermanos,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,,
Facundo Quiroga,1909,Argentina, ,0,0,0 min,Silent, Black and White,0,0,Julio RaÌ_l Alsina ,
La primera y segunda casetas,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
Pega na Chaleira,1909,Brazil," Comedy, Musical",3.5,0,0 min,Silent, Black and White,0,0,AntÌ«nio Serra ,"JoÌ£o Barbosa,Adelaide Coutinho,JoÌ£o de Deus"
La vida en el campamento,1909,Spain, ,0,0,0 min,Silent, Black and White,0,0,Ignacio Coyne ,
Marin Faliero doge di Venezia,1909,Italy, ,5.7,0,0 min,Silent, Black and White,0,0,Giuseppe de Liguoro ,"Giuseppe de Liguoro,Salvatore Papa,Arturo Pirovano"
A szabadkai drÌÁma,1909,Hungary, ,0,0,0 min,Silent, Black and White,0,0,,
Hokkyoku tanken,1909,Japan, ,3.2,0,0 min,, Black and White,0,0,,
Jane Eyre,1910,USA, Drama,6,0,0 min,Silent, Black and White,0,0,Theodore Marston ,"Marie Eline,Gloria Gallop,Frank Hall Crane"
"The Life and Adventures of John Vane, the Australian Bushranger",1910,Australia, Drama,0,0,0 min,Silent, Black and White,0,0,S.A. Fitzgerald ,"Max Clifton,Jim Gerald,Lance Vane"
The White Slave Trade,1910,Denmark, Drama,5.6,0,45 min,Silent, Black and White,0,0,August Blom ,"Ellen Diedrich,Victor Fabian,Julie Henriksen"
The Red Inn,1910,France, ,6,0,0 min,Silent, Black and White,0,0,Camille de Morlhon ,"Jeanne Cheirel,Julien ClÌ©ment,Georges Saillard"
Little Snow White,1910,France," Adventure, Family, Fantasy, Romance",4.7,0,0 min,Silent, Black and White,0,0,,HÌ©lÌ¬ne Du Montel
Dorothy and the Scarecrow in Oz,1910,USA, ,5.3,0,0 min,Silent, Black and White,0,0,Otis Turner ,Marcia Moore
Gentleman Joe,1910,USA, ,5,0,0 min,Silent, Black and White,0,0,,Harry Carey
Welke Rosen,1910,Germany, ,0,0,0 min,Silent, Black and White,0,0,Walter SchmidthÌ_ssler ,"Walter SchmidthÌ_ssler,Wanda Treumann"
SumurÌÈn,1910,Germany, Romance,5.9,0,0 min,Silent, Black and White,0,0,Max Reinhardt ,"Bertha Wiesenthal,Victor Arnold,Rudolf BlÌ_mner"
The Squatter's Daughter,1910,Australia, Drama,6,0,66 min,Silent, Black and White,"AUDåÊ1,000        ",0,Bert Bailey ,"Olive Wilton,Bert Bailey,Edmund Duggan"
Cavalleria rusticana,1910,France, ,4.6,0,0 min,Silent, Black and White,0,0,Emile Chautard (as Ìämile Chautard)            ,"Charles Krauss,Dupont-Morgan,Marcelle Barry"
Paz e Amor,1910,Brazil," Comedy, Musical",3.3,0,60 min,Silent, Black and White,0,0,Alberto Moreira ,"Luis Bastos,AntÌ«nio Cataldi,Maria da Piedade"
Sherlock Holmes VI,1910,Denmark, ,3.8,0,0 min,Silent, Black and White,0,0,,
Abraham Lincoln's Clemency,1910,USA, ,4.7,0,0 min,Silent, Black and White,0,0,Theodore Wharton ,Leopold Wharton
Pyotr Velikiy,1910,Russia," Biography, Drama, History",5.4,0,0 min,Silent, Black and White,0,0,,"Pyotr Voinov,Ye. Trubetskaya,A. Gorbachevskiy"
The Devil on Two Sticks,1910,Italy, ,4.9,0,0 min,Silent, Black and White,0,0,Luigi Maggi ,"Gigetta Morano,Enrico Vaser,Ercole Vaser"
Peder Tordenskjold,1910,Denmark, ,4,0,0 min,Silent, Black and White,0,0,Ernst Munkeboe ,"Christian Hansen,Valborg Kierkegaard,Ernst Munkeboe"
Stockman Joe,1910,Australia, Drama,0,0,0 min,Silent, Black and White,0,0,Victor Adamson ,Victor Adamson
ArsÌ¬ne Lupin contra Sherlock Holmes,1910,Germany," Drama, Mystery",0,0,92 min,Silent, Black and White,0,0,Viggo Larsen ,"Paul Otto,Viggo Larsen"
Valdemar Sejr,1910,Denmark," Drama, History",4.8,0,0 min,Silent, Black and White,0,0,Gunnar Helsengreen ,"Philip Bech,Aage BjÌürnbak,Ragnhild Christensen"
La revoluciÌ_n de Mayo,1910,Argentina, Drama,4.8,0,0 min,Silent, Black and White,0,0,Mario Gallo ,Eliseo GutiÌ©rrez
Orientalsk dans,1910,Denmark, ,0,0,0 min,Silent, Black and White,0,0,,
Kapergasten,1910,Denmark, Drama,5.3,0,0 min,Silent, Black and White,0,0,Alfred Cohn (uncredited)            ,"Alfred Cohn,Aage FÌünss,Jenny Roelsgaard"
La creaciÌ_n del himno,1910,Argentina, ,4.4,0,0 min,Silent, Black and White,0,0,Mario Gallo ,
"Hamlet, Prince of Denmark",1910,France, Drama,5.3,0,0 min,Silent, Black and White,0,0,GÌ©rard Bourgeois ,Jean Mounet-Sully
The Connecticut Yankee,1910,USA, ,0,0,0 min,Silent, Black and White,0,0,,William V. Mong
As Ì_ltimas InundaÌ_Ìµes do Tejo em SantarÌ©m,1910,Portugal, ,0,0,0 min,Silent, Black and White,0,0,,
Desfile histÌ_rico del centenario,1910,Mexico, ,0,0,0 min,Silent, Black and White,0,0,Hermanos Alva ,
GÌ_emes y sus gauchos,1910,Argentina, ,0,0,0 min,Silent, Black and White,0,0,Mario Gallo ,
Abandoned,1910,Italy, ,5.3,0,0 min,Silent, Black and White,0,0,Mario Caserini ,"Maria Caserini,Cesare Moltini"
Andreuccio da Perugia,1910,Italy, ,5,0,0 min,Silent, Black and White,0,0,Gennaro Righelli ,
The Eternal Law,1910,USA," Crime, Drama",0,0,0 min,Silent, Black and White,0,0,,
Chiribiribi (I),1910,Brazil," Comedy, Musical",0,0,0 min,Silent, Black and White,0,0,JÌ_lio Ferrez ,"Claudina Montenegro,Santiago Pepe,AntÌ«nio Cataldi"
Conquering Hero Comes,1910,USA, ,0,0,0 min,Silent, Black and White,0,0,,
En rekrut fra 64,1910,Denmark," Drama, War",5.3,0,0 min,Silent, Black and White,0,0,,"Gustav Helios,Alfred Lind,Jutta Lund"
GÌ_teborgarens marstrandsresa,1910,Sweden, ,5.2,0,0 min,Silent, Black and White,0,0,,Knut Lambert
Lucrezia Borgia,1910,Italy, Drama,4.3,0,0 min,Silent, Black and White,0,0,Ugo Falena ,"Vittoria Lepanto,Achille Vitti,Gustavo Serena"
Don Juan de Serrallonga,1910,Spain," Adventure, Drama",0,0,58 min,Silent, Black and White,0,0,,"Dolores Puchol,Cecilio RodrÌ_guez de la Vega"
Rip Van Winkle,1910,USA, ,4.8,0,0 min,Silent, Black and White,0,0,,
Trail to the West,1910,USA, ,0,0,0 min,Silent, Black and White,0,0,Gilbert M. 'Broncho Billy' Anderson ,Gilbert M. 'Broncho Billy' Anderson
Paganini,1910,France, ,0,0,0 min,Silent, Black and White,0,0,Albert Capellani ,
Fra storstadens dyb,1910,Denmark, ,3.6,0,0 min,Silent, Black and White,0,0,Carl Alstrup ,"Carl Alstrup,Kate Fabian,Sigrid Creutz Hindborg"
L'aluminite,1910,France, ,0,0,0 min,Silent, Black and White,0,0,,
Giovanni il conquistatore,1910,Italy, ,4.3,0,0 min,Silent, Black and White,0,0,,
The Butterfly,1910,UK, ,0,0,0 min,Silent, Black and White,0,0,Robert W. Paul ,
El pobre Valbuena,1910,Spain, ,0,0,0 min,Silent, Black and White,0,0,Segundo de ChomÌ_n ,
Mil AdultÌ©rios,1910,Brazil, Comedy,5.2,0,0 min,Silent, Black and White,0,0,JoÌ£o Colas ,"JoÌ£o Colas,AntÌ«nio Serra,Machado"
De post en de boerderij van Doma,1910,Belgium, ,0,0,0 min,Silent, Black and White,0,0,,
Japanisches Opfer,1910,Germany, ,5.2,0,0 min,Silent, Black and White,0,0,Adolf GÌ_rtner ,"Max Mack,Lupu Pick,Albert SteinrÌ_ck"
Lucrezia Borgia,1910,Italy, ,4.7,0,0 min,Silent, Black and White,0,0,Mario Caserini ,"Francesca Bertini,Maria Caserini,Maria Jacobini"
Dante's Inferno,1911,Italy," Adventure, Drama, Fantasy, Horror",7,0,0 min,Silent, Black and White,0,0,,"Salvatore Papa,Arturo Pirovano,Giuseppe de Liguoro"
Karadjordje,1911,Serbia," Drama, War",6.6,0,80 min,Silent, Black and White,0,0,Ilija Stanojevic-Cica ,"Jovan Antonijevic-Djedo,Teodora Arsenovic,Vitomir Bogic"
Den sorte drÌüm,1911,Germany, Drama,6.3,0,53 min,Silent, Black and White,0,0,Urban Gad ,"Asta Nielsen,Valdemar Psilander,Gunnar Helsengreen"
The Traitress,1911,Germany, ,6.4,0,48 min,Silent, Black and White,0,0,Urban Gad ,"Asta Nielsen,Max Obal,Robert Valberg"
Oborona Sevastopolya,1911,Russia," History, War",6.1,0,0 min,Silent, Black and White,0,0,,"Andrej Gromov,Ivan Mozzhukhin,V. Arentsvari"
Anna Karenina,1911,Russia, ,5.4,0,0 min,Silent, Black and White,0,0,Maurice MaÌ¨tre ,"M. Sorochtina,M. Trojanov,Nikolai Vasilyev"
Zwei Frauen,1911,Germany, ,0,0,0 min,Silent, Black and White,0,0,,Henny Porten
Pinocchio,1911,, Fantasy,5.8,0,50 min,Silent, Black and White,0,0,Giulio Antamoro ,"Polidor,Augusto Mastripietri,Natalino Guillaume"
Anna-Liisa,1911,Finland, Drama,0,0,0 min,Silent, Black and White,0,0,Teppo Raikas ,"Olga Leino,Mimmi LÌ_hteenoja,Ester Niska-Forsman"
The Lady Outlaw,1911,Australia, Drama,0,0,0 min,Silent, Black and White,0,0,Alfred Rolfe ,Charles Villiers
