Name,Year,Country,Genre,Rating,Metascore,Runtime,Sound_mix,Color,Budget,Gross,Director,Stars
Magic,1978,USA," Drama, Fantasy, Horror",6.8,0,107 min,Mono,Color,0,0,Richard Attenborough ,"Anthony Hopkins,Ann-Margret,Burgess Meredith"
Hooper,1978,USA," Action, Comedy",6.2,0,99 min,Mono,Color,"$6,000,000 ",0,Hal Needham ,"Burt Reynolds,Jan-Michael Vincent,Sally Field"
"Same Time, Next Year",1978,USA," Comedy, Drama, Romance",7.2,0,119 min,Mono, Black and White,0,0,Robert Mulligan ,"Alan Alda,Ellen Burstyn,Ivan Bonar"
Alien,1979,UK," Horror, Sci-Fi",8.5,83,117 min,70 mm 6-Track,Color,"$11,000,000 ","$78,900,000 ",Ridley Scott ,"Sigourney Weaver,Tom Skerritt,John Hurt"
Apocalypse Now,1979,USA," Drama, War",8.5,90,153 min,70 mm 6-Track,Color,"$31,500,000 ","$78,800,000 ",Francis Ford Coppola (as Francis Coppola)            ,"Martin Sheen,Marlon Brando,Robert Duvall"
Caligula,1979,Italy," Drama, History",5.3,0,156 min,Dolby,Color,"$17,500,000 ","$23,438,120 ",,"Malcolm McDowell,Peter O'Toole,Helen Mirren"
The Warriors,1979,USA," Action, Thriller",7.7,0,92 min,Mono,Color,"$4,000,000 ",0,Walter Hill ,"Michael Beck,James Remar,Dorsey Wright"
Stalker,1979,Soviet Union," Drama, Sci-Fi",8.1,0,163 min,Mono,Color,"RURåÊ6,000,000        ",0,Andrei Tarkovsky (as Andrey Tarkovskiy)            ,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn"
Mad Max,1979,Australia," Action, Adventure, Sci-Fi, Thriller",7,67,88 min,Mono,Color,"$200,000 ",0,George Miller ,"Mel Gibson,Joanne Samuel,Hugh Keays-Byrne"
Going in Style,1979,USA," Comedy, Crime, Drama",7.2,0,97 min,Mono,Color,0,0,Martin Brest ,"George Burns,Art Carney,Lee Strasberg"
Star Trek: The Motion Picture,1979,USA," Adventure, Mystery, Sci-Fi",6.4,48,132 min,Dolby Digital EX,Color,"$35,000,000 ","$82,300,000 ",Robert Wise ,"William Shatner,Leonard Nimoy,DeForest Kelley"
Life of Brian,1979,UK, Comedy,8.1,75,94 min,Dolby Stereo,Color,"$4,000,000 ","$646,124 ",Terry Jones ,"Graham Chapman,John Cleese,Michael Palin"
Being There,1979,USA," Comedy, Drama",8,0,130 min,Mono,Color,0,0,Hal Ashby ,"Peter Sellers,Shirley MacLaine,Melvyn Douglas"
Running,1979,Canada," Drama, Sport",5.8,0,102 min,Mono,Color,"$3,600,000 ",0,Steven Hilliard Stern ,"Michael Douglas,Susan Anspach,Lawrence Dane"
Rocky II,1979,USA," Drama, Sport",7.2,0,119 min,Dolby,Color,"$7,000,000 ",0,Sylvester Stallone ,"Sylvester Stallone,Talia Shire,Burt Young"
Escape from Alcatraz,1979,USA," Biography, Crime, Drama",7.6,0,112 min,Mono,Color,"$8,000,000 ","$36,500,000 ",Don Siegel (as Donald Siegel)            ,"Clint Eastwood,Patrick McGoohan,Roberts Blossom"
Kramer vs. Kramer,1979,USA, Drama,7.8,77,105 min,Mono,Color,"$8,000,000 ","$106,300,000 ",Robert Benton ,"Dustin Hoffman,Meryl Streep,Jane Alexander"
Phantasm,1979,USA," Fantasy, Horror, Sci-Fi",6.9,72,88 min,Mono,Color,"$300,000 ",0,Don Coscarelli ,"A. Michael Baldwin,Bill Thornbury,Reggie Bannister"
